id,id_kategori,kbli_2_digit_deskripsi,nama_variabel,tahun,jumlah
81,559,Peralatan Listrik,Mikro,2011,829.0
82,559,Peralatan Listrik,Kecil,2011,36.0
83,559,Mesin dan Perlengkapan ytdl,Mikro,2011,308.0
84,559,Mesin dan Perlengkapan ytdl,Kecil,2011,514.0
85,559,Kendaraan Bermotor Trailer dan Semi Trailer,Mikro,2011,1610.0
86,559,Kendaraan Bermotor Trailer dan Semi Trailer,Kecil,2011,1195.0
87,559,Alat Angkutan Lainnya,Kecil,2011,786.0
88,559,Alat Angkutan Lainnya,Mikro,2011,6425.0
89,559,Furnitur,Kecil,2011,22307.0
90,559,Furnitur,Mikro,2011,66687.0
91,559,Pengolahan Lainnya,Kecil,2011,9459.0
92,559,Pengolahan Lainnya,Mikro,2011,51986.0
93,559,Jasa Reparasi dan Pemasangan Mesin dan Peralatan,Kecil,2011,1120.0
94,559,Jasa Reparasi dan Pemasangan Mesin dan Peralatan,Mikro,2011,5616.0
95,559,JUMLAH,Mikro,2011,2554787.0
96,559,JUMLAH,Kecil,2011,424284.0
97,559,Makanan,Kecil,2012,70712.0
98,559,Makanan,Mikro,2012,871898.0
99,559,Minuman,Mikro,2012,51069.0
100,559,Minuman,Kecil,2012,2605.0
101,559,Pengolahan Tembakau,Kecil,2012,856.0
102,559,Pengolahan Tembakau,Mikro,2012,32535.0
103,559,Tekstil,Kecil,2012,15008.0
104,559,Tekstil,Mikro,2012,192149.0
105,559,Pakaian Jadi,Mikro,2012,347887.0
106,559,Pakaian Jadi,Kecil,2012,107141.0
107,559,Kulit Barang dari Kulit dan Alas Kaki,Mikro,2012,37514.0
108,559,Kulit Barang dari Kulit dan Alas Kaki,Kecil,2012,16417.0
109,559,Kayu Barang dari Kayu dan Gabus (Tidak Termasuk Furnitur) dan Barang Anyaman dari Bambu Rotan dan sejenisnya,Kecil,2012,29850.0
110,559,Kayu Barang dari Kayu dan Gabus (Tidak Termasuk Furnitur) dan Barang Anyaman dari Bambu Rotan dan sejenisnya,Mikro,2012,554992.0
111,559,Kertas dan Barang dari Kertas,Kecil,2012,1400.0
112,559,Kertas dan Barang dari Kertas,Mikro,2012,9487.0
113,559,Pencetakan dan Reproduksi Media Rekaman,Mikro,2012,34320.0
114,559,Pencetakan dan Reproduksi Media Rekaman,Kecil,2012,17596.0
115,559,Bahan Kimia dan Barang dari Bahan Kimia,Mikro,2012,16002.0
116,559,Bahan Kimia dan Barang dari Bahan Kimia,Kecil,2012,164.0
117,559,Farmasi Produk Obat Kimia dan Obat Tradisional,Mikro,2012,10909.0
118,559,Farmasi Produk Obat Kimia dan Obat Tradisional,Kecil,2012,1.0
119,559,Karet Barang dari Karet dan Plastik,Mikro,2012,23300.0
120,559,Karet Barang dari Karet dan Plastik,Kecil,2012,2813.0
121,559,Barang Galian Bukan Logam,Kecil,2012,48808.0
122,559,Barang Galian Bukan Logam,Mikro,2012,233396.0
123,559,Logam Dasar,Mikro,2012,369.0
124,559,Logam Dasar,Kecil,2012,88.0
125,559,Barang Logam Bukan Mesin dan Peralatannya,Mikro,2012,118106.0
126,559,Barang Logam Bukan Mesin dan Peralatannya,Kecil,2012,18050.0
127,559,Komputer Barang Elektronik dan Optik,Mikro,2012,79.0
128,559,Komputer Barang Elektronik dan Optik,Kecil,2012,29.0
129,559,Peralatan Listrik,Kecil,2012,725.0
130,559,Peralatan Listrik,Mikro,2012,551.0
131,559,Mesin dan Perlengkapan ytdl,Kecil,2012,686.0
132,559,Mesin dan Perlengkapan ytdl,Mikro,2012,10542.0
133,559,Kendaraan Bermotor Trailer dan Semi Trailer,Kecil,2012,524.0
134,559,Kendaraan Bermotor Trailer dan Semi Trailer,Mikro,2012,1433.0
135,559,Alat Angkutan Lainnya,Kecil,2012,610.0
136,559,Alat Angkutan Lainnya,Mikro,2012,8138.0
137,559,Furnitur,Kecil,2012,46226.0
138,559,Furnitur,Mikro,2012,136983.0
139,559,Pengolahan Lainnya,Mikro,2012,113818.0
140,559,Pengolahan Lainnya,Kecil,2012,23884.0
141,559,Jasa Reparasi dan Pemasangan Mesin dan Peralatan,Mikro,2012,7270.0
142,559,Jasa Reparasi dan Pemasangan Mesin dan Peralatan,Kecil,2012,1103.0
143,559,JUMLAH,Mikro,2012,2812747.0
144,559,JUMLAH,Kecil,2012,405296.0
145,559,Makanan,Mikro,2013,1008890.0
146,559,Makanan,Kecil,2013,158651.0
147,559,Minuman,Mikro,2013,45508.0
148,559,Minuman,Kecil,2013,1962.0
149,559,Pengolahan Tembakau,Mikro,2013,48887.0
150,559,Pengolahan Tembakau,Kecil,2013,14823.0
151,559,Tekstil,Kecil,2013,27541.0
152,559,Tekstil,Mikro,2013,265498.0
153,559,Pakaian Jadi,Mikro,2013,240833.0
154,559,Pakaian Jadi,Kecil,2013,99169.0
155,559,Kulit Barang dari Kulit dan Alas Kaki,Mikro,2013,17326.0
156,559,Kulit Barang dari Kulit dan Alas Kaki,Kecil,2013,22824.0
157,559,Kayu Barang dari Kayu dan Gabus (Tidak Termasuk Furnitur) dan Barang Anyaman dari Bambu Rotan dan sejenisnya,Kecil,2013,53130.0
158,559,Kayu Barang dari Kayu dan Gabus (Tidak Termasuk Furnitur) dan Barang Anyaman dari Bambu Rotan dan sejenisnya,Mikro,2013,728786.0
159,559,Kertas dan Barang dari Kertas,Mikro,2013,8672.0
160,559,Kertas dan Barang dari Kertas,Kecil,2013,1430.0
161,559,Pencetakan dan Reproduksi Media Rekaman,Mikro,2013,22918.0
162,559,Pencetakan dan Reproduksi Media Rekaman,Kecil,2013,8666.0
163,559,Bahan Kimia dan Barang dari Bahan Kimia,Mikro,2013,20181.0
164,559,Bahan Kimia dan Barang dari Bahan Kimia,Kecil,2013,3987.0
165,559,Farmasi Produk Obat Kimia dan Obat Tradisional,Kecil,2013,909.0
166,559,Farmasi Produk Obat Kimia dan Obat Tradisional,Mikro,2013,5607.0
167,559,Karet Barang dari Karet dan Plastik,Mikro,2013,19999.0
168,559,Karet Barang dari Karet dan Plastik,Kecil,2013,1999.0
169,559,Barang Galian Bukan Logam,Mikro,2013,196845.0
170,559,Barang Galian Bukan Logam,Kecil,2013,69017.0
171,559,Logam Dasar,Kecil,2013,310.0
172,559,Logam Dasar,Mikro,2013,1080.0
173,559,Barang Logam Bukan Mesin dan Peralatannya,Mikro,2013,61801.0
174,559,Barang Logam Bukan Mesin dan Peralatannya,Kecil,2013,17934.0
175,559,Komputer Barang Elektronik dan Optik,Mikro,2013,121.0
176,559,Komputer Barang Elektronik dan Optik,Kecil,2013,218.0
177,559,Peralatan Listrik,Mikro,2013,324.0
178,559,Peralatan Listrik,Kecil,2013,291.0
179,559,Mesin dan Perlengkapan ytdl,Mikro,2013,633.0
180,559,Mesin dan Perlengkapan ytdl,Kecil,2013,1178.0
181,559,Kendaraan Bermotor Trailer dan Semi Trailer,Mikro,2013,1800.0
182,559,Kendaraan Bermotor Trailer dan Semi Trailer,Kecil,2013,1449.0
183,559,Alat Angkutan Lainnya,Mikro,2013,5537.0
184,559,Alat Angkutan Lainnya,Kecil,2013,839.0
185,559,Furnitur,Mikro,2013,102957.0
186,559,Furnitur,Kecil,2013,30874.0
187,559,Pengolahan Lainnya,Mikro,2013,75071.0
188,559,Pengolahan Lainnya,Kecil,2013,13723.0
189,559,Jasa Reparasi dan Pemasangan Mesin dan Peralatan,Mikro,2013,7741.0
190,559,Jasa Reparasi dan Pemasangan Mesin dan Peralatan,Kecil,2013,427.0
191,559,JUMLAH,Mikro,2013,2887015.0
192,559,JUMLAH,Kecil,2013,531351.0
193,559,Makanan,Mikro,2014,1125425.0
194,559,Makanan,Kecil,2014,73066.0
195,559,Minuman,Kecil,2014,1401.0
196,559,Minuman,Mikro,2014,43293.0
197,559,Pengolahan Tembakau,Kecil,2014,21590.0
198,559,Pengolahan Tembakau,Mikro,2014,43152.0
199,559,Tekstil,Kecil,2014,12246.0
200,559,Tekstil,Mikro,2014,291151.0
201,559,Pakaian Jadi,Mikro,2014,304418.0
202,559,Pakaian Jadi,Kecil,2014,50165.0
203,559,Kulit Barang dari Kulit dan Alas Kaki,Mikro,2014,30789.0
204,559,Kulit Barang dari Kulit dan Alas Kaki,Kecil,2014,12477.0
205,559,Kayu Barang dari Kayu dan Gabus (Tidak Termasuk Furnitur) dan Barang Anyaman dari Bambu Rotan dan sejenisnya,Mikro,2014,784753.0
206,559,Kayu Barang dari Kayu dan Gabus (Tidak Termasuk Furnitur) dan Barang Anyaman dari Bambu Rotan dan sejenisnya,Kecil,2014,20729.0
207,559,Kertas dan Barang dari Kertas,Kecil,2014,1160.0
208,559,Kertas dan Barang dari Kertas,Mikro,2014,7904.0
209,559,Pencetakan dan Reproduksi Media Rekaman,Kecil,2014,8295.0
210,559,Pencetakan dan Reproduksi Media Rekaman,Mikro,2014,22719.0
211,559,Bahan Kimia dan Barang dari Bahan Kimia,Kecil,2014,1813.0
212,559,Bahan Kimia dan Barang dari Bahan Kimia,Mikro,2014,22065.0
213,559,Farmasi Produk Obat Kimia dan Obat Tradisional,Mikro,2014,6206.0
214,559,Farmasi Produk Obat Kimia dan Obat Tradisional,Kecil,2014,238.0
215,559,Karet Barang dari Karet dan Plastik,Kecil,2014,2790.0
216,559,Karet Barang dari Karet dan Plastik,Mikro,2014,14300.0
217,559,Barang Galian Bukan Logam,Kecil,2014,33324.0
218,559,Barang Galian Bukan Logam,Mikro,2014,242242.0
219,559,Logam Dasar,Kecil,2014,146.0
220,559,Logam Dasar,Mikro,2014,1801.0
221,559,Barang Logam Bukan Mesin dan Peralatannya,Mikro,2014,67825.0
222,559,Barang Logam Bukan Mesin dan Peralatannya,Kecil,2014,12749.0
223,559,Komputer Barang Elektronik dan Optik,Kecil,2014,134.0
224,559,Komputer Barang Elektronik dan Optik,Mikro,2014,224.0
225,559,Peralatan Listrik,Mikro,2014,32.0
226,559,Peralatan Listrik,Kecil,2014,220.0
227,559,Mesin dan Perlengkapan ytdl,Mikro,2014,1265.0
228,559,Mesin dan Perlengkapan ytdl,Kecil,2014,394.0
229,559,Kendaraan Bermotor Trailer dan Semi Trailer,Kecil,2014,2042.0
230,559,Kendaraan Bermotor Trailer dan Semi Trailer,Mikro,2014,1530.0
231,559,Alat Angkutan Lainnya,Kecil,2014,903.0
232,559,Alat Angkutan Lainnya,Mikro,2014,5546.0
233,559,Furnitur,Mikro,2014,122182.0
234,559,Furnitur,Kecil,2014,19475.0
